case,sample,LB,unit,fq1,fq2,PL
ctMSI-CRC-0053,N,ctMSI-CRC-0053-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S005_SZ20190302002WHB-7_gdna_wesplus_26610_S5_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S005_SZ20190302002WHB-7_gdna_wesplus_26610_S5_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0053,T,ctMSI-CRC-0053-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S069_SZ20190302001PES-c_ffpedna_wesplus_27357_S15_L003_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S069_SZ20190302001PES-c_ffpedna_wesplus_27357_S15_L003_R2_001.fastq.gz,ILM
ctMSI-CRC-0054,N,ctMSI-CRC-0054-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S092_SZ20190201239WHB-b_gdna_wesplus_25823_S12_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S092_SZ20190201239WHB-b_gdna_wesplus_25823_S12_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0054,T,ctMSI-CRC-0054-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S059_SZ20190501031PES-2_ffpedna_wesplus_28573_S35_L003_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S059_SZ20190501031PES-2_ffpedna_wesplus_28573_S35_L003_R2_001.fastq.gz,ILM
ctMSI-CRC-0055,N,ctMSI-CRC-0055-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S033_20180913006-0_gdna_wesplus_11121_S33_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S033_20180913006-0_gdna_wesplus_11121_S33_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0055,T,ctMSI-CRC-0055-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S027_20180929012-4_ffpedna_wesplus_11890_S2_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S027_20180929012-4_ffpedna_wesplus_11890_S2_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0055,T1,ctMSI-CRC-0055-T1,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S171_SZ20190124017PES-6_ffpedna_wesplus_22288_S77_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S171_SZ20190124017PES-6_ffpedna_wesplus_22288_S77_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0056,N,ctMSI-CRC-0056-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S077_20180826004-b_gdna_wesplus_10617_S23_L003_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S077_20180826004-b_gdna_wesplus_10617_S23_L003_R2_001.fastq.gz,ILM
ctMSI-CRC-0056,T,ctMSI-CRC-0056-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S134_SZ20190131012PES-9_ffpedna_wesplus_21513_S30_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S134_SZ20190131012PES-9_ffpedna_wesplus_21513_S30_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0057,T,ctMSI-CRC-0057-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S021_SZ20190420026PES-a_ffpedna_wesplus_26755_S13_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S021_SZ20190420026PES-a_ffpedna_wesplus_26755_S13_L002_R2_001.fastq.gz,ILM
